Name,Type,Country
Kg m/40  ,Machine Gun  ,Sweden  
KP/-31  ,Submachine Gun  ,Finland  
Krag-Jørgensen  ,Rifle  ,Norway  
Lahti-Saloranta M/26  ,Machine Gun  ,Finland  
Lanchester  ,Submachine Gun  ,United Kingdom  
Lebel M1892  ,Handgun  ,France  
Lee-Enfield No. 4  ,Rifle  ,United Kingdom  
Lee-Enfield No. 5  ,Rifle  ,United Kingdom  
Lewis  ,Machine Gun  ,United Kingdom  
M1 Carbine  ,Rifle  ,United States  
M1 Garand  ,Rifle  ,United States  
M1 Mortar  ,Launcher  ,United States  
M1/M9 'Bazooka'  ,Launcher  ,United States  
M15  ,Grenade  ,United States  
M18  ,Recoilless Gun  ,United States  
M2 Howitzer  ,Field Gun  ,United States  
M2 Mortar  ,Launcher  ,United States  
M20  ,Recoilless Gun  ,United States  
M3 'Grease Gun'  ,Submachine Gun  ,United States  
M3  ,Blade  ,United States  
M4 Survival  ,Rifle  ,United States  
M50 Reising  ,Submachine Gun  ,United States  
M9  ,Grenade  ,United States  
Madsen  ,Machine Gun  ,Denmark  
Mannlicher-Schönauer  ,Rifle  ,Austria  
Mark 1  ,Blade  ,United States  
Mark 2 'KA-BAR'  ,Blade  ,United States  
Mark II  ,Grenade  ,United States  
Mark III  ,Grenade  ,United States  
Mark XIII  ,Torpedo  ,United States  
MAS M1935A  ,Handgun  ,France  
MAS M1935S  ,Handgun  ,France  
Mauser C96  ,Handgun  ,Germany  
Mauser Kar98k  ,Rifle  ,Germany  
Maxim M1910  ,Machine Gun  ,Russia  
MG 08  ,Machine Gun  ,Germany  
MG 13  ,Machine Gun  ,Germany  
MG 15  ,Machine Gun  ,Germany  
MG 34  ,Machine Gun  ,Germany  
MG 42  ,Machine Gun  ,Germany  
Model 1914  ,Grenade  ,Russia  
Model 24 Stielhandgranate  ,Grenade  ,Germany  
Model 39 Eihandgranate  ,Grenade  ,Germany  
Model 43 Stielhandgranate  ,Grenade  ,Germany  
Mortaio da 81/14 Modello 35  ,Launcher  ,Italy  
Mosin-Nagant  ,Rifle  ,Russia  
MP 34  ,Submachine Gun  ,Austria  
MP 35  ,Submachine Gun  ,Germany  
MP 40  ,Submachine Gun  ,Germany  
Murata  ,Rifle  ,Japan  
Nagant M1895  ,Handgun  ,Russia  
No. 5 'Mills bomb'  ,Grenade  ,United Kingdom  
No. 68  ,Grenade  ,United Kingdom  
No. 69  ,Grenade  ,United Kingdom  
No. 70  ,Grenade  ,United Kingdom  
No. 74 'Sticky Bomb'  ,Grenade  ,United Kingdom  
No. 75 'Hawkins Grenade'  ,Grenade  ,United Kingdom  
No. 76  ,Grenade  ,United Kingdom  
No. 80  ,Grenade  ,United Kingdom  
No. 82 'Gammon Bomb'  ,Grenade  ,United Kingdom  
Norden Bombsight  ,Bombsight  ,United States  
Northover Projector  ,Launcher  ,United Kingdom  
NR-40  ,Blade  ,Russia  
Ordnance ML 3-inch Mortar  ,Launcher  ,United Kingdom  
Ordnance QF 2 pounder  ,Anti-Tank Gun  ,United Kingdom  
Ordnance QF 25 pounder  ,Field Gun  ,United Kingdom  
